song,duration,level
A Day In The Life,1500,2
A Hard Day's Night,1000,1
A Taste Of Honey,1000,4
Across The Universe,1000,2
Act Naturally,1000,4
All I've Got To Do,1000,4
All My Loving,1000,2
All Together Now,1000,4
All You Need Is Love,1000,1
And I Love Her,1000,2
And Your Bird Can Sing,1000,4
Anna (Go To Him),1000,4
Another Girl,1000,4
Any Time At All,1000,4
Ask Me Why,1000,4
Baby It's You,1000,4
Baby You're A Rich Man,1000,4
Baby's In Black,1000,4
Back In The U.S.S.R.,1000,2
Bad Boy,1000,4
Because,1000,4
Being For The Benefit Of Mr Kite!,1000,4
Birthday,1000,4
Blackbird,1000,3
Blue Jay Way,1500,4
Boys,1000,4
Can't Buy Me Love,1000,1
Carry That Weight,1000,4
Chains,1000,4
Come Together,1000,1
Cry Baby Cry,1000,4
Day Tripper,1000,1
Dear Prudence,1000,3
Devil In Her Heart,1000,4
Dig A Pony,1000,4
Dig It,1300,4
Dizzy Miss Lizzy,1000,4
Do You Want To Know A Secret?,1000,4
Doctor Robert,1000,4
Don't Bother Me,1000,4
Don't Let Me Down,1000,2
Don't Pass Me By,1000,4
Drive My Car,1000,2
Eight Days A Week,1000,1
Eleanor Rigby,1000,1
Every Little Thing,1000,4
Everybody's Got Something To Hide Except Me And My Monkey,1000,4
Everybody's Trying To Be My Baby,1000,4
Fixing A Hole,1000,4
Flying,1000,4
For No One,1000,4
For You Blue,1000,4
Free As A Bird,1000,4
From Me To You,1000,1
Get Back,1000,1
Getting Better,1000,4
Girl,1000,2
Glass Onion,1000,3
Golden Slumbers,1000,4
Good Day Sunshine,1000,4
Good Morning Good Morning,1000,4
Good Night,2000,4
Got To Get You Into My Life,1000,3
Happiness Is A Warm Gun,1000,4
"Hello, Goodbye",1000,1
Help!,1000,1
Helter Skelter,1000,4
Her Majesty,1000,4
Here Comes The Sun,1000,2
"Here, There And Everywhere",1000,3
Hey Bulldog,1000,3
Hey Jude,1000,1
Hold Me Tight,1000,4
Honey Don't,1000,4
Honey Pie,1000,4
I Am The Walrus,1000,2
I Call Your Name,1000,4
I Don't Want To Spoil The Party,1000,4
I Feel Fine,1000,1
I Me Mine,1000,3
I Need You,1000,4
I Saw Her Standing There,1000,3
I Should Have Known Better,1000,4
I Wanna Be Your Man,1000,4
I Want To Hold Your Hand,1000,1
I Want To Tell You,1000,4
I Want You (She's So Heavy),1000,3
I Will,1000,4
I'll Be Back,1000,4
I'll Cry Instead,1000,4
I'll Follow The Sun,1000,4
I'll Get You,1000,4
I'm A Loser,1000,4
I'm Down,1000,4
I'm Happy Just To Dance With You,1000,4
I'm Looking Through You,1000,4
I'm Only Sleeping,1000,3
I'm So Tired,1000,4
I've Got A Feeling,1000,4
I've Just Seen A Face,1000,4
If I Fell,1000,4
If I Needed Someone,1000,3
In My Life,1000,2
It Won't Be Long,1000,4
It's All Too Much,1000,4
It's Only Love,1000,4
Julia,1000,4
Kansas City | Hey-Hey-Hey-Hey,1000,4
Lady Madonna,1000,1
Let It Be,1000,1
Little Child,1000,4
Long Tall Sally,800,4
"Long, Long, Long",1000,4
Love Me Do,1000,1
Love You To,1000,4
Lovely Rita,1000,4
Lucy In The Sky With Diamonds,1000,2
Maggie Mae,1000,4
Magical Mystery Tour,1000,2
Martha My Dear,1000,4
Matchbox,1000,4
Maxwell's Silver Hammer,1000,4
Mean Mr. Mustard,1000,4
Michelle,1000,2
Misery,1000,4
Money (That's What I Want),1000,4
Mother Nature's Son,1000,4
Mr. Moonlight,1000,4
No Reply,1000,4
Norwegian Wood,1000,2
Not A Second Time,1000,4
Now And Then,1000,3
Nowhere Man,1000,2
"Ob-La-Di, Ob-La-Da",1000,2
Octopus's Garden,1000,2
Oh! Darling,1000,3
Old Brown Shoe,1000,2
One After 909,1000,4
Only A Northern Song,1000,4
P.S. I Love You,1000,4
Paperback Writer,1000,1
Penny Lane,1000,1
Piggies,1000,4
Please Mister Postman,1000,4
Please Please Me,1000,2
Polythene Pam,1000,4
Rain,1000,4
Real Love,1000,4
Revolution 1,1000,4
Revolution 9,1000,4
Revolution,1000,2
Rock And Roll Music,1000,4
Rocky Raccoon,1000,4
Roll Over Beethoven,1000,3
Run For Your Life,1000,4
Savoy Truffle,1000,4
Sexy Sadie,1000,4
Sgt. Pepper's Lonely Hearts Club Band (Reprise),1000,4
Sgt. Pepper's Lonely Hearts Club Band,2000,2
She Came In Through The Bathroom Window,1000,4
She Loves You,1000,1
She Said She Said,1000,4
She's A Woman,1000,4
She's Leaving Home,1000,4
Slow Down,1000,4
Something,1000,1
Strawberry Fields Forever,1000,2
Sun King,1000,4
Taxman,1000,3
Tell Me What You See,1000,4
Tell Me Why,1000,4
Thank You Girl,1000,4
The Ballad Of John And Yoko,1000,1
The Continuing Story Of Bungalow Bill,1000,4
The End,1000,4
The Fool On The Hill,1000,2
The Inner Light,1000,4
The Long And Winding Road,1000,1
The Night Before,1000,4
The Word,1000,4
There's A Place,1000,4
Things We Said Today,1000,4
Think For Yourself,1000,4
This Boy,1000,3
Ticket To Ride,1000,1
Till There Was You,1000,4
Tomorrow Never Knows,1000,3
Twist And Shout,1000,3
Two Of Us,1000,4
Wait,1000,4
We Can Work It Out,1000,1
What Goes On,1000,4
What You're Doing,1000,4
When I Get Home,1000,4
When I'm Sixty-Four,1000,4
While My Guitar Gently Weeps,1000,2
Why Don't We Do It In The Road,1000,4
Wild Honey Pie,1000,4
With A Little Help From My Friends,1000,2
Within You Without You,2000,3
Words Of Love,1000,4
Yellow Submarine,1000,1
Yer Blues,1000,4
Yes It Is,1000,4
Yesterday,1000,1
You Can't Do That,1000,3
You Know My Name (Look Up The Number),1000,4
You Like Me Too Much,1000,4
You Never Give Me Your Money,1000,4
You Really Got A Hold On Me,1000,3
You Won't See Me,1000,4
You're Going To Lose That Girl,1000,4
You've Got To Hide Your Love Away,1000,2
Your Mother Should Know,1000,4
